year,Fazenda,consumo_medio,consumo_medio_por_ave
2023,665,7769.8542,0.3173940592054979
2023,666,7729.25,0.3190768012185409
2023,1117,10197.775400000002,0.3102695818121359
2023,1118,10190.165,0.3113480348250858
2024,665,7449.925833333334,0.3594145983096702
2024,666,7928.5160000000005,0.34528401167968653
2024,1117,10242.098833333332,0.36695347667812955
2024,1118,10588.049,0.35074061563616743
2025,665,7028.199999999999,0.32140622067990027
2025,666,6713.059250000001,0.31837452879203604
2025,1117,9371.599,0.3048425800198381
2025,1118,9363.79725,0.30208344070687276
