dia_criacao,energy_wh,energy_kwh
0,24352.991850000002,24.352991850000002
1,27721.7369,27.7217369
2,27252.949350000003,27.25294935
3,15146.0859,15.1460859
4,15662.8384,15.6628384
5,7903.8212,7.9038212
6,12501.10675,12.501106750000002
7,16998.66355,16.99866355
8,24855.481200000002,24.855481200000003
9,20348.139900000002,20.348139900000003
10,10361.1607,10.361160700000001
11,10968.88265,10.96888265
12,11039.54335,11.03954335
13,12004.48645,12.00448645
14,14364.29775,14.36429775
15,27209.0203,27.2090203
16,27294.35885,27.294358850000002
17,33937.06525,33.937065249999996
18,30178.519800000002,30.1785198
19,21997.9716,21.9979716
20,32624.5469,32.6245469
21,29454.67195,29.45467195
22,17855.67465,17.85567465
23,33285.38455,33.28538455
24,44328.6987,44.328698700000004
25,41939.697250000005,41.93969725
26,49041.6564,49.0416564
27,59117.78785,59.11778785
28,65806.51715,65.80651715
29,47888.646850000005,47.88864685000001
30,54713.52315,54.71352315
31,67471.97435,67.47197435000001
32,41841.0916,41.8410916
33,57039.634300000005,57.0396343
34,51641.156050000005,51.641156050000006
35,62907.61125,62.90761125
36,77630.4342,77.6304342
37,74894.3074,74.8943074
38,82462.45645,82.46245645
39,76887.40895,76.88740895
40,83045.44435,83.04544435000001
41,66495.2233,66.49522329999999
42,63898.28005,63.898280050000004
43,76416.3059,76.41630590000001
44,87010.43835,87.01043835
45,87603.9021,87.60390210000001
46,84801.2341,84.8012341
47,58516.72255,58.51672255
48,52786.594300000004,52.786594300000004
49,37288.98635,37.28898635
50,4842.79345,4.84279345
